country,number,energy,circles_curves,axis_points,synchronous_limbs,external_body_spaces,shifting_relations,jumping,emotion,energy_normalized,circles_curves_normalized,axis_points_normalized,synchronous_limbs_normalized,external_body_spaces_normalized,shifting_relations_normalized,jumping_normalized,emotion_normalized
Indonesia,38,66,42,17,22,77,82,0,82,61.818,30.769,9.459,18.28,71.014,81.25,0.0,83.871
Indonesia,39,67,52,53,7,57,87,0,87,63.636,43.59,58.108,2.151,42.029,89.062,0.0,91.935
Indonesia,40,62,63,63,17,52,77,0,87,54.545,57.692,71.622,12.903,34.783,73.438,0.0,91.935
Indonesia,41,61,37,53,7,52,87,0,87,52.727,24.359,58.108,2.151,34.783,89.062,0.0,91.935
Indonesia,42,62,42,42,7,62,87,3,87,54.545,30.769,43.243,2.151,49.275,89.062,5.66,91.935
Indonesia,43,57,42,47,7,47,87,7,87,45.455,30.769,50.0,2.151,27.536,89.062,13.208,91.935
Indonesia,44,54,42,42,7,47,82,7,82,40.0,30.769,43.243,2.151,27.536,81.25,13.208,83.871
Indonesia,45,62,37,37,7,57,82,7,82,54.545,24.359,36.486,2.151,42.029,81.25,13.208,83.871
Indonesia,46,62,47,47,7,57,87,3,87,54.545,37.179,50.0,2.151,42.029,89.062,5.66,91.935
Indonesia,47,67,37,37,7,57,87,37,87,63.636,24.359,36.486,2.151,42.029,89.062,69.811,91.935
Indonesia,48,67,68,22,78,82,43,0,82,63.636,64.103,16.216,78.495,78.261,20.312,0.0,83.871
Indonesia,49,62,58,17,73,82,43,0,82,54.545,51.282,9.459,73.118,78.261,20.312,0.0,83.871
Indonesia,50,67,47,17,32,82,77,0,82,63.636,37.179,9.459,29.032,78.261,73.438,0.0,83.871
Indonesia,51,62,73,68,83,62,48,0,87,54.545,70.513,78.378,83.871,49.275,28.125,0.0,91.935
Indonesia,52,62,68,53,7,57,82,0,82,54.545,64.103,58.108,2.151,42.029,81.25,0.0,83.871
Indonesia,53,61,37,47,12,52,82,0,82,52.727,24.359,50.0,7.527,34.783,81.25,0.0,83.871
Indonesia,54,87,68,17,12,92,92,52,92,100.0,64.103,9.459,7.527,92.754,96.875,98.113,100.0
Indonesia,55,72,73,17,12,82,87,0,87,72.727,70.513,9.459,7.527,78.261,89.062,0.0,91.935
Indonesia,56,43,31,78,93,42,43,0,77,20.0,16.667,91.892,94.624,20.29,20.312,0.0,75.806
Indonesia,57,48,32,68,38,42,67,0,77,29.091,17.949,78.378,35.484,20.29,57.812,0.0,75.806
Laos,01,38,28,57,60,30,52,0,58,10.909,12.821,63.514,59.14,2.899,34.375,0.0,45.161
Laos,02,48,25,15,78,65,40,5,62,29.091,8.974,6.757,78.495,53.623,15.625,9.434,51.613
Laos,03,43,32,62,55,35,58,0,60,20.0,17.949,70.27,53.763,10.145,43.75,0.0,48.387
Laos,04,56,78,52,42,66,76,0,64,43.636,76.923,56.757,39.785,55.072,71.875,0.0,54.839
Laos,05,45,48,70,45,38,68,0,65,23.636,38.462,81.081,43.011,14.493,59.375,0.0,56.452
Laos,06,61,52,43,38,74,82,3,68,52.727,43.59,44.595,35.484,66.667,81.25,5.66,61.29
Laos,07,58,34,18,68,71,54,0,70,47.273,20.513,10.811,67.742,62.319,37.5,0.0,64.516
Laos,08,53,63,61,75,60,65,0,66,38.182,57.692,68.919,75.269,46.377,54.688,0.0,58.065
Laos,09,42,25,28,91,48,35,0,55,18.182,8.974,24.324,92.473,28.986,7.812,0.0,40.323
Laos,10,55,68,62,73,65,67,0,65,41.818,64.103,70.27,73.118,53.623,57.812,0.0,56.452
Laos,11,64,57,18,25,72,78,32,72,58.182,50.0,10.811,21.505,63.768,75.0,60.377,67.742
Laos,12,58,43,58,40,52,72,12,68,47.273,32.051,64.865,37.634,34.783,65.625,22.642,61.29
Laos,13,66,72,22,18,78,85,0,74,61.818,69.231,16.216,13.978,72.464,85.938,0.0,70.968
Laos,14,76,58,26,20,82,88,46,76,80.0,51.282,21.622,16.129,78.261,90.625,86.792,74.194
Laos,15,57,74,25,65,73,55,0,70,45.455,71.795,20.27,64.516,65.217,39.062,0.0,64.516
Laos,16,61,55,48,12,68,86,0,74,52.727,47.436,51.351,7.527,57.971,87.5,0.0,70.968
Laos,17,46,28,18,72,48,48,0,61,25.455,12.821,10.811,72.043,28.986,28.125,0.0,50.0
Laos,18,51,32,16,93,72,34,5,63,34.545,17.949,8.108,94.624,63.768,6.25,9.434,53.226
Laos,19,43,58,66,78,42,55,0,58,20.0,51.282,75.676,78.495,20.29,39.062,0.0,45.161
Malaysia,01,32,28,42,94,46,32,0,44,0.0,12.821,43.243,95.699,26.087,3.125,0.0,22.581
Malaysia,02,36,32,76,95,38,44,0,46,7.273,17.949,89.189,96.774,14.493,21.875,0.0,25.806
Malaysia,03,39,75,26,91,55,36,0,45,12.727,73.077,21.622,92.473,39.13,9.375,0.0,24.194
Malaysia,04,52,64,12,18,91,78,0,54,36.364,58.974,2.703,13.978,91.304,75.0,0.0,38.71
Malaysia,05,51,58,14,22,88,76,0,53,34.545,51.282,5.405,18.28,86.957,71.875,0.0,37.097
Malaysia,06,55,72,47,13,64,84,0,58,41.818,69.231,50.0,8.602,52.174,84.375,0.0,45.161
Malaysia,07,57,88,32,10,72,87,0,61,45.455,89.744,29.73,5.376,63.768,89.062,0.0,50.0
Malaysia,08,38,87,58,18,42,64,0,49,10.909,88.462,64.865,13.978,20.29,53.125,0.0,30.645
Malaysia,09,42,65,51,14,48,71,0,52,18.182,60.256,55.405,9.677,28.986,64.062,0.0,35.484
Malaysia,10,43,60,24,92,58,36,0,50,20.0,53.846,18.919,93.548,43.478,9.375,0.0,32.258
Malaysia,11,46,86,22,90,61,38,0,52,25.455,87.179,16.216,91.398,47.826,12.5,0.0,35.484
Malaysia,12,37,74,46,87,65,34,0,48,9.091,71.795,48.649,88.172,53.623,6.25,0.0,29.032
Malaysia,13,48,78,18,95,73,37,0,52,29.091,76.923,10.811,96.774,65.217,10.938,0.0,35.484
Malaysia,15,43,67,56,12,52,79,0,54,20.0,62.821,62.162,7.527,34.783,76.562,0.0,38.71
Malaysia,16,52,82,28,14,71,85,0,58,36.364,82.051,24.324,9.677,62.319,85.938,0.0,45.161
Malaysia,17,64,39,15,20,92,86,0,61,58.182,26.923,6.757,16.129,92.754,87.5,0.0,50.0
Malaysia,18,33,71,82,91,32,43,0,44,1.818,67.949,97.297,92.473,5.797,20.312,0.0,22.581
Malaysia,19,39,90,38,55,47,56,0,48,12.727,92.308,37.838,53.763,27.536,40.625,0.0,29.032
Malaysia,20,49,88,22,24,68,82,0,57,30.909,89.744,16.216,20.43,57.971,81.25,0.0,43.548
Malaysia,21,51,92,18,52,76,65,0,58,34.545,94.872,10.811,50.538,69.565,54.688,0.0,45.161
Malaysia,22,58,52,20,86,60,42,0,55,47.273,43.59,13.514,87.097,46.377,18.75,0.0,40.323
Malaysia,23,61,79,14,27,86,79,0,58,52.727,78.205,5.405,23.656,84.058,76.562,0.0,45.161
Malaysia,24,56,35,28,76,55,48,5,57,43.636,21.795,24.324,76.344,39.13,28.125,9.434,43.548
Malaysia,25,69,68,12,18,95,88,0,61,67.273,64.103,2.703,13.978,97.101,90.625,0.0,50.0
Malaysia,26,74,83,10,22,96,88,0,63,76.364,83.333,0.0,18.28,98.551,90.625,0.0,53.226
Malaysia,27,62,88,12,38,91,76,5,58,54.545,89.744,2.703,35.484,91.304,71.875,9.434,45.161
Malaysia,28,67,85,12,20,93,85,0,60,63.636,85.897,2.703,16.129,94.203,85.938,0.0,48.387
Malaysia,29,62,54,12,88,91,43,0,56,54.545,46.154,2.703,89.247,91.304,20.312,0.0,41.935
Malaysia,30,68,31,25,66,73,68,18,60,65.455,16.667,20.27,65.591,65.217,59.375,33.962,48.387
Malaysia,32,62,77,14,58,78,65,8,60,54.545,75.641,5.405,56.989,72.464,54.688,15.094,48.387
Malaysia,33,74,43,50,12,81,90,0,64,76.364,32.051,54.054,7.527,76.812,93.75,0.0,54.839
Malaysia,34,77,63,43,10,79,91,39,62,81.818,57.692,44.595,5.376,73.913,95.312,73.585,51.613
Malaysia,35,79,58,44,12,78,90,46,60,85.455,51.282,45.946,7.527,72.464,93.75,86.792,48.387
Malaysia,36,68,79,14,24,84,82,16,61,65.455,78.205,5.405,20.43,81.159,81.25,30.189,50.0
Malaysia,37,70,87,12,18,92,86,18,64,69.091,88.462,2.703,13.978,92.754,87.5,33.962,54.839
Malaysia,38,78,84,12,12,88,91,49,63,83.636,84.615,2.703,7.527,86.957,95.312,92.453,53.226
Malaysia,39,80,46,12,10,83,93,50,65,87.273,35.897,2.703,5.376,79.71,98.438,94.34,56.452
Malaysia,40,69,83,14,25,87,84,9,63,67.273,83.333,5.405,21.505,85.507,84.375,16.981,53.226
Malaysia,41,70,61,13,38,90,80,10,64,69.091,55.128,4.054,35.484,89.855,78.125,18.868,54.839
Malaysia,42,76,82,10,18,97,89,0,66,80.0,82.051,0.0,13.978,100.0,92.188,0.0,58.065
Malaysia,43,62,86,49,12,73,84,8,60,54.545,87.179,52.703,7.527,65.217,84.375,15.094,48.387
Myanmar,01,42,32,52,90,42,35,0,54,18.182,17.949,56.757,91.398,20.29,7.812,0.0,38.71
Myanmar,02,66,75,18,8,82,91,0,63,61.818,73.077,10.811,3.226,78.261,95.312,0.0,53.226
Myanmar,03,43,38,60,88,38,40,0,55,20.0,25.641,67.568,89.247,14.493,15.625,0.0,40.323
Myanmar,04,39,36,78,92,32,42,0,54,12.727,23.077,91.892,93.548,5.797,18.75,0.0,38.71
Myanmar,05,68,45,17,10,83,90,0,64,65.455,34.615,9.459,5.376,79.71,93.75,0.0,54.839
Myanmar,06,40,34,76,93,31,40,0,55,14.545,20.513,89.189,94.624,4.348,15.625,0.0,40.323
Myanmar,07,64,44,18,12,78,88,0,63,58.182,33.333,10.811,7.527,72.464,90.625,0.0,53.226
Myanmar,08,40,34,76,93,31,40,0,55,14.545,20.513,89.189,94.624,4.348,15.625,0.0,40.323
Myanmar,09,55,42,54,9,50,82,0,60,41.818,30.769,59.459,4.301,31.884,81.25,0.0,48.387
Myanmar,10,42,55,65,89,38,42,0,56,18.182,47.436,74.324,90.323,14.493,18.75,0.0,41.935
Myanmar,11,57,38,45,10,58,84,0,61,45.455,25.641,47.297,5.376,43.478,84.375,0.0,50.0
Myanmar,12,41,52,67,91,37,41,0,56,16.364,43.59,77.027,92.473,13.043,17.188,0.0,41.935
Myanmar,13,62,41,24,15,72,86,0,61,54.545,29.487,18.919,10.753,63.768,87.5,0.0,50.0
Myanmar,14,44,45,52,68,43,52,0,56,21.818,34.615,56.757,67.742,21.739,34.375,0.0,41.935
Myanmar,15,59,58,30,12,65,84,0,62,49.091,51.282,27.027,7.527,53.623,84.375,0.0,51.613
Myanmar,16,49,55,58,35,45,67,0,58,30.909,47.436,64.865,32.258,24.638,57.812,0.0,45.161
Myanmar,17,57,45,55,10,54,84,0,62,45.455,34.615,60.811,5.376,37.681,84.375,0.0,51.613
Myanmar,18,41,54,72,87,38,46,0,56,16.364,46.154,83.784,88.172,14.493,25.0,0.0,41.935
Myanmar,19,54,53,62,12,49,82,0,61,40.0,44.872,70.27,7.527,30.435,81.25,0.0,50.0
Myanmar,20,40,53,70,89,36,44,0,56,14.545,44.872,81.081,90.323,11.594,21.875,0.0,41.935
Myanmar,21,55,54,60,12,50,83,0,62,41.818,46.154,67.568,7.527,31.884,82.812,0.0,51.613
Myanmar,22,40,52,68,90,36,43,0,56,14.545,43.59,78.378,91.398,11.594,20.312,0.0,41.935
Myanmar,23,55,53,60,11,50,83,0,62,41.818,44.872,67.568,6.452,31.884,82.812,0.0,51.613
Myanmar,24,40,52,68,90,36,43,0,56,14.545,43.59,78.378,91.398,11.594,20.312,0.0,41.935
Myanmar,25,55,54,61,11,50,83,0,62,41.818,46.154,68.919,6.452,31.884,82.812,0.0,51.613
Myanmar,26,40,52,68,90,36,43,0,56,14.545,43.59,78.378,91.398,11.594,20.312,0.0,41.935
Myanmar,27,56,54,62,10,51,84,0,62,43.636,46.154,70.27,5.376,33.333,84.375,0.0,51.613
Myanmar,28,40,52,68,90,36,43,0,56,14.545,43.59,78.378,91.398,11.594,20.312,0.0,41.935
Myanmar,29,58,51,64,8,55,86,0,63,47.273,42.308,72.973,3.226,39.13,87.5,0.0,53.226
Myanmar,30,43,48,57,56,42,56,0,57,20.0,38.462,63.514,54.839,20.29,40.625,0.0,43.548
Myanmar,31,57,49,72,18,48,85,0,62,45.455,39.744,83.784,13.978,28.986,85.938,0.0,51.613
Myanmar,32,55,50,55,8,59,85,0,62,41.818,41.026,60.811,3.226,44.928,85.938,0.0,51.613
Myanmar,33,59,52,62,8,55,87,0,64,49.091,43.59,70.27,3.226,39.13,89.062,0.0,54.839
Myanmar,34,41,49,70,87,35,45,0,56,16.364,39.744,81.081,88.172,10.145,23.438,0.0,41.935
Myanmar,35,57,49,70,17,48,84,0,62,45.455,39.744,81.081,12.903,28.986,84.375,0.0,51.613
Myanmar,36,54,51,54,7,58,84,0,62,40.0,42.308,59.459,2.151,43.478,84.375,0.0,51.613
Myanmar,37,68,58,24,5,82,94,0,64,65.455,51.282,18.919,0.0,78.261,100.0,0.0,54.839
Myanmar,38,51,44,30,94,72,40,0,59,34.545,33.333,27.027,95.699,63.768,15.625,0.0,46.774
Myanmar,39,69,60,22,6,84,94,0,65,67.273,53.846,16.216,1.075,81.159,100.0,0.0,56.452
Myanmar,40,52,43,28,95,74,39,0,59,36.364,32.051,24.324,96.774,66.667,14.062,0.0,46.774
Myanmar,41,48,62,15,95,81,35,0,57,29.091,56.41,6.757,96.774,76.812,7.812,0.0,43.548
Myanmar,42,61,60,14,54,82,77,0,62,52.727,53.846,5.405,52.688,78.261,73.438,0.0,51.613
Myanmar,43,48,61,15,95,82,35,0,57,29.091,55.128,6.757,96.774,78.261,7.812,0.0,43.548
Myanmar,44,58,58,18,48,76,74,0,61,47.273,51.282,10.811,46.237,69.565,68.75,0.0,50.0
Myanmar,45,48,61,15,95,82,35,0,57,29.091,55.128,6.757,96.774,78.261,7.812,0.0,43.548
Myanmar,46,58,52,68,20,49,84,0,62,47.273,43.59,78.378,16.129,30.435,84.375,0.0,51.613
Myanmar,47,54,50,52,7,58,84,0,61,40.0,41.026,56.757,2.151,43.478,84.375,0.0,50.0
Myanmar,48,58,52,71,18,48,85,0,63,47.273,43.59,82.432,13.978,28.986,85.938,0.0,53.226
Myanmar,49,55,51,53,7,60,85,0,61,41.818,42.308,58.108,2.151,46.377,85.938,0.0,50.0
Myanmar,50,59,52,68,16,50,86,0,63,49.091,43.59,78.378,11.828,31.884,87.5,0.0,53.226
Myanmar,51,41,56,70,89,37,44,0,56,16.364,48.718,81.081,90.323,13.043,21.875,0.0,41.935
Myanmar,52,57,54,67,15,48,84,0,62,45.455,46.154,77.027,10.753,28.986,84.375,0.0,51.613
Myanmar,53,42,55,72,80,38,48,0,56,18.182,47.436,83.784,80.645,14.493,28.125,0.0,41.935
Myanmar,54,58,50,64,91,64,46,0,60,47.273,41.026,72.973,92.473,52.174,25.0,0.0,48.387
Myanmar,55,65,57,20,17,82,89,0,63,60.0,50.0,13.514,12.903,78.261,92.188,0.0,53.226
Myanmar,56,68,55,20,8,80,92,0,64,65.455,47.436,13.514,3.226,75.362,96.875,0.0,54.839
Myanmar,57,62,45,30,10,67,88,0,62,54.545,34.615,27.027,5.376,56.522,90.625,0.0,51.613
Myanmar,58,59,48,62,92,65,45,0,60,49.091,38.462,70.27,93.548,53.623,23.438,0.0,48.387
Myanmar,59,64,58,20,23,79,88,0,63,58.182,51.282,13.514,19.355,73.913,90.625,0.0,53.226
Myanmar,60,60,55,35,10,64,85,0,61,50.909,47.436,33.784,5.376,52.174,85.938,0.0,50.0
Myanmar,61,58,53,58,10,52,83,0,61,47.273,44.872,64.865,5.376,34.783,82.812,0.0,50.0
Myanmar,62,46,50,52,90,54,38,0,56,25.455,41.026,56.757,91.398,37.681,12.5,0.0,41.935
Myanmar,63,67,57,42,6,76,92,0,64,63.636,50.0,43.243,1.075,69.565,96.875,0.0,54.839
Philippines,01,64,72,18,18,83,86,0,58,58.182,69.231,10.811,13.978,79.71,87.5,0.0,45.161
Philippines,02,76,96,12,35,97,84,8,63,80.0,100.0,2.703,32.258,100.0,84.375,15.094,53.226
Philippines,03,78,94,12,38,95,83,21,65,83.636,97.436,2.703,35.484,97.101,82.812,39.623,56.452
Philippines,04,74,88,20,22,75,88,45,62,76.364,89.744,13.514,18.28,68.116,90.625,84.906,51.613
Philippines,05,54,68,45,14,60,80,5,56,40.0,64.103,47.297,9.677,46.377,78.125,9.434,41.935
Philippines,06,61,58,10,97,96,30,9,35,52.727,51.282,0.0,98.925,98.551,0.0,16.981,8.065
Philippines,07,59,84,20,15,63,86,0,57,49.091,84.615,13.514,10.753,50.725,87.5,0.0,43.548
Philippines,08,66,76,18,15,77,86,15,59,61.818,74.359,10.811,10.753,71.014,87.5,28.302,46.774
Philippines,09,65,80,42,16,76,86,0,60,60.0,79.487,43.243,11.828,69.565,87.5,0.0,48.387
Philippines,10,60,32,12,95,88,36,12,55,50.909,17.949,2.703,96.774,86.957,9.375,22.642,40.323
Philippines,11,58,55,18,12,68,84,0,56,47.273,47.436,10.811,7.527,57.971,84.375,0.0,41.935
Philippines,12,62,46,15,12,70,85,8,58,54.545,35.897,6.757,7.527,60.87,85.938,15.094,45.161
Philippines,13,48,88,12,92,69,32,0,30,29.091,89.744,2.703,93.548,59.42,3.125,0.0,0.0
Philippines,14,52,43,18,58,58,60,0,54,36.364,32.051,10.811,56.989,43.478,46.875,0.0,38.71
Philippines,15,63,44,32,45,58,72,25,58,56.364,33.333,29.73,43.011,43.478,65.625,47.17,45.161
Philippines,16,78,35,12,18,90,91,51,61,83.636,21.795,2.703,13.978,89.855,95.312,96.226,50.0
Philippines,17,65,45,72,90,45,68,0,62,60.0,34.615,83.784,91.398,24.638,59.375,0.0,51.613
Philippines,18,67,35,44,12,68,87,0,59,63.636,21.795,45.946,7.527,57.971,89.062,0.0,46.774
Philippines,19,70,40,18,12,76,89,38,60,69.091,28.205,10.811,7.527,69.565,92.188,71.698,48.387
Philippines,20,61,55,12,92,92,37,0,57,52.727,47.436,2.703,93.548,92.754,10.938,0.0,43.548
Philippines,21,61,47,17,10,70,86,8,58,52.727,37.179,9.459,5.376,60.87,87.5,15.094,45.161
Singapore,01,45,92,70,94,65,40,0,50,23.636,94.872,81.081,95.699,53.623,15.625,0.0,32.258
Singapore,02,42,80,18,93,62,38,0,48,18.182,79.487,10.811,94.624,49.275,12.5,0.0,29.032
Singapore,03,50,83,10,98,96,30,0,52,32.727,83.333,0.0,100.0,98.551,0.0,0.0,35.484
Singapore,04,61,95,18,14,75,87,8,56,52.727,98.718,10.811,9.677,68.116,89.062,15.094,41.935
Singapore,05,54,84,55,62,55,65,5,54,40.0,84.615,60.811,61.29,39.13,54.688,9.434,38.71
Singapore,06,58,87,78,91,68,48,0,55,47.273,88.462,91.892,92.473,57.971,28.125,0.0,40.323
Singapore,07,56,85,10,97,94,32,0,54,43.636,85.897,0.0,98.925,95.652,3.125,0.0,38.71
Singapore,08,49,82,63,12,45,84,0,56,30.909,82.051,71.622,7.527,24.638,84.375,0.0,41.935
Singapore,09,55,85,46,14,68,82,0,56,41.818,85.897,48.649,9.677,57.971,81.25,0.0,41.935
Singapore,10,61,88,52,15,72,86,0,58,52.727,89.744,56.757,10.753,63.768,87.5,0.0,45.161
Singapore,11,59,89,20,14,74,86,0,57,49.091,91.026,13.514,9.677,66.667,87.5,0.0,43.548
Singapore,12,68,86,15,10,88,91,0,60,65.455,87.179,6.757,5.376,86.957,95.312,0.0,48.387
Singapore,13,67,84,18,62,78,84,0,58,63.636,84.615,10.811,61.29,72.464,84.375,0.0,45.161
Singapore,14,57,82,52,14,67,83,0,57,45.455,82.051,56.757,9.677,56.522,82.812,0.0,43.548
Singapore,15,56,88,62,82,65,69,4,55,43.636,89.744,70.27,82.796,53.623,60.938,7.547,40.323
Singapore,16,70,86,12,10,92,92,0,60,69.091,87.179,2.703,5.376,92.754,96.875,0.0,48.387
Thailand,01,68,84,62,75,72,48,0,78,65.455,84.615,70.27,75.269,63.768,28.125,0.0,77.419
Thailand,02,72,65,48,12,72,86,0,82,72.727,60.256,51.351,7.527,63.768,87.5,0.0,83.871
Thailand,03,74,95,44,8,82,90,0,83,76.364,98.718,45.946,3.226,78.261,93.75,0.0,85.484
Thailand,04,76,89,14,20,96,86,0,84,80.0,91.026,5.405,16.129,98.551,87.5,0.0,87.097
Thailand,05,72,86,18,22,92,84,0,82,72.727,87.179,10.811,18.28,92.754,84.375,0.0,83.871
Thailand,06,73,91,16,20,94,85,0,83,74.545,93.59,8.108,16.129,95.652,85.938,0.0,85.484
Thailand,07,67,72,45,9,75,84,0,80,63.636,69.231,47.297,4.301,68.116,84.375,0.0,80.645
Thailand,08,70,86,47,8,80,88,0,82,69.091,87.179,50.0,3.226,75.362,90.625,0.0,83.871
Thailand,09,69,25,42,10,77,87,0,80,67.273,8.974,43.243,5.376,71.014,89.062,0.0,80.645
Thailand,10,59,28,82,94,60,38,0,74,49.091,12.821,97.297,95.699,46.377,12.5,0.0,70.968
Thailand,11,54,20,55,22,43,72,0,75,40.0,2.564,60.811,18.28,21.739,65.625,0.0,72.581
Thailand,12,58,25,52,12,55,80,0,78,47.273,8.974,56.757,7.527,39.13,78.125,0.0,77.419
Thailand,13,58,65,76,91,55,36,0,75,47.273,60.256,89.189,92.473,39.13,9.375,0.0,72.581
Thailand,14,67,67,78,88,69,44,0,78,63.636,62.821,91.892,89.247,59.42,21.875,0.0,77.419
Thailand,15,68,32,62,18,61,81,0,80,65.455,17.949,70.27,13.978,47.826,79.688,0.0,80.645
Thailand,16,71,92,45,8,78,89,0,82,70.909,94.872,47.297,3.226,72.464,92.188,0.0,83.871
Thailand,17,61,67,80,93,66,38,0,76,52.727,62.821,94.595,94.624,55.072,12.5,0.0,74.194
Thailand,18,79,94,15,18,93,90,43,85,85.455,97.436,6.757,13.978,94.203,93.75,81.132,88.71
Thailand,19,78,60,51,8,74,91,44,85,83.636,53.846,55.405,3.226,66.667,95.312,83.019,88.71
Thailand,20,73,62,15,20,92,87,0,83,74.545,56.41,6.757,16.129,92.754,89.062,0.0,85.484
Thailand,21,63,20,45,10,50,85,0,82,56.364,2.564,47.297,5.376,31.884,85.938,0.0,83.871
Thailand,22,55,18,20,92,58,34,0,74,41.818,0.0,13.514,93.548,43.478,6.25,0.0,70.968
